Name,Education ,Verification Link
Aadhav Arjuna,bachelor's degree in political science,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=222
Aadirajaram,Graduate,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=752
Aasan Maulaana,Post Graduate,"https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1726#:~:text=Educational%20Details,Management%2C%20Chennai%20In%20Year%2D2005"
Aadithiyan A,Diploma Mechanical Engineering,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3697
Aathithya,4th Grade,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2593
Abdul Bakki M.S.,7th Standard,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3963
Abdul Hakeem K.,Post Graduate,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=548
Abdul Jaffar S.,10th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1574
Abdul Jaleel R.K,9th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=791
Abdul Raheem S,12th pass,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=878
Abdul Wahid A,5th Pass,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2954
Abdur Rahman A.,12th Pass,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1210
Abiman Ragunath,Graduate Professional,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2413
Abinaya Ponnivalavan,Post Graduate,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=223
Abinaya R.,Graduate,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=196
Abineshkumar T.,10th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3703
Abirami A.,10th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=43
Abirami D.,Graduate,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2333
Abishek R,Graduate Professional,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=856
Abishek R.,Post Graduate,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1080
Abitha M.,12th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1491
Abubacker Siddheeq,Graduate Professional,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=52
Abubacker Siddiq M.,5th Pass,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3554
Abubakkar Sithick J.,Graduate,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3811
Abukither,10th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3912
Adaikalaraj S.,D.Ted,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3997
Adhiyamaan R.V,Graduate Professional,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=998
Advocate Sadhuragiri,Graduate Professional,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3317
Advocate.Muthaiah S.,Graduate Professional,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=349
Afshia Nasrin S.,Post Graduate,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=5
Agni Aalvar,10th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3003
Agni Selvaraju J.,Post Graduate,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2825
Ahamed Ali M,Diploma,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2854
Ahammed Nazeer Khan,10th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=4014
Aiyappan,12th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1575
Ajay I,12th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1467
Ajay Kannan A.,Diploma,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=541
Ajay Kumar K.,Diploma,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2492
Ajith G,12th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=944
Ajith Kumar A,10th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1808
Ajith Kumar S,Graduate,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3762
Ajith M.,Post Graduate,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1237
Ajithkumar A.,Post Graduate,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=235
Akbar Ali A.,8th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3868
Akbar Ali P.,10th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3261
Alagaapuram Mohanraj R.,Graduate,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=747
Alagammal A,Graduate,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=106
Alagar A,8th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2322
Alagar P,Graduate Professional,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3998
Alagarsamy Pandiyan,10th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3965
Alagiyannan A.,8th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=407
Alaguraja T.,Graduate,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=629
Alappan A,Post Graduate,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2264
Alavanthar M,12th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2663
Albert Francis Xavier S,Post Graduate,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3421
Alex Pandian K,Graduate Professional,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3983
Alex S,5th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3734
Alexandar M,Graduate,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1662
Alexander V,,https://www.myneta.info/tamilnadu2016/candidate.php?candidate_id=542
Alla Pichai,Graduate,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3964
Allimuthu M,10th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2501
Amala R.,8th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1979
Amalan Savarimuthu A,Gratuate,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3650
Amalu V,8th Pass,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1852
Ambedkar C,8th Pass,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1027
Ambedkar T,Post Graduate,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1759
Ambeth Rajan,Graduate,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=167
Ambethkar,5th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=681
Ambethkumar S,10th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1307
Amirtha Kanthan T,Diploma,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3329
Amirtha Pandi M,12th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1466
Amirthalingam,8th Pass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3618
